Date,Produk,Kategori_MAE,Actual_Sales,Predicted_Sales,Error,Absolute_Error
2025-12-14,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-15,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-16,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-17,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-18,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-19,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-20,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-21,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-22,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-23,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-24,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-25,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-26,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-27,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-28,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-29,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-30,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-12-31,GB-CNF-250,rendah,0.0,0.0,-0.0,0.0
2025-11-25,GB-DS-30,tinggi,0.0,0.01,-0.01,0.01
2025-11-26,GB-DS-30,tinggi,0.0,0.04,-0.04,0.04
2025-11-27,GB-DS-30,tinggi,0.0,0.02,-0.02,0.02
2025-11-28,GB-DS-30,tinggi,0.0,0.04,-0.04,0.04
2025-11-29,GB-DS-30,tinggi,0.0,0.03,-0.03,0.03
2025-11-30,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-01,GB-DS-30,tinggi,0.0,0.04,-0.04,0.04
2025-12-02,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-03,GB-DS-30,tinggi,0.0,0.04,-0.04,0.04
2025-12-04,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-05,GB-DS-30,tinggi,0.0,0.04,-0.04,0.04
2025-12-06,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
2025-12-07,GB-DS-30,tinggi,0.0,0.04,-0.04,0.04
2025-12-08,GB-DS-30,tinggi,0.0,0.05,-0.05,0.05
